Date ,Open,Close,Label
2/24/2011,"2,726.59","2,737.90",1
2/23/2011,"2,755.20","2,722.99",0
2/22/2011,"2,795.44","2,756.42",0
2/18/2011,"2,833.35","2,833.95",1
2/17/2011,"2,816.12","2,831.58",1
2/16/2011,"2,815.09","2,825.56",1
2/15/2011,"2,809.02","2,804.35",0
2/14/2011,"2,810.19","2,817.18",1
2/11/2011,"2,783.16","2,809.44",1
2/10/2011,"2,764.76","2,790.45",1
2/9/2011,"2,791.13","2,789.07",0
2/8/2011,"2,782.41","2,797.05",1
2/7/2011,"2,773.26","2,783.99",1
2/4/2011,"2,755.85","2,769.30",1
2/3/2011,"2,746.74","2,753.88",1
2/2/2011,"2,744.68","2,749.56",1
2/1/2011,"2,717.61","2,751.19",1
1/31/2011,"2,693.30","2,700.08",1
1/28/2011,"2,755.28","2,686.89",0
1/27/2011,"2,745.16","2,755.28",1
1/26/2011,"2,724.52","2,739.50",1
1/25/2011,"2,704.25","2,719.25",1
1/24/2011,"2,693.03","2,717.55",1
1/21/2011,"2,716.92","2,689.54",0
1/20/2011,"2,712.40","2,704.29",0
1/19/2011,"2,762.81","2,725.36",0
1/18/2011,"2,744.80","2,765.85",1
1/14/2011,"2,732.48","2,755.30",1
1/13/2011,"2,734.93","2,735.29",1
1/12/2011,"2,731.45","2,737.33",1
1/11/2011,"2,719.60","2,716.83",0
1/10/2011,"2,691.47","2,707.80",1
1/7/2011,"2,712.75","2,703.17",0
1/6/2011,"2,704.38","2,709.89",1
1/5/2011,"2,673.91","2,702.20",1
1/4/2011,"2,699.86","2,681.25",0
1/3/2011,"2,676.65","2,691.52",1
12/31/2010,"2,660.58","2,652.87",0
12/30/2010,"2,665.68","2,662.98",0
12/29/2010,"2,667.18","2,666.93",0
12/28/2010,"2,671.85","2,662.88",0
12/27/2010,"2,657.09","2,667.27",1
12/23/2010,"2,667.42","2,665.60",0
12/22/2010,"2,669.00","2,671.48",1
12/21/2010,"2,658.94","2,667.61",1
12/20/2010,"2,651.98","2,649.56",0
12/17/2010,"2,643.35","2,642.97",0
12/16/2010,"2,620.56","2,637.31",1
12/15/2010,"2,625.81","2,617.22",0
12/14/2010,"2,631.34","2,627.72",0
12/13/2010,"2,645.35","2,624.91",0
12/10/2010,"2,623.28","2,637.54",1
12/9/2010,"2,623.15","2,616.67",0
12/8/2010,"2,604.57","2,609.16",1
12/7/2010,"2,623.15","2,598.49",0
12/6/2010,"2,591.28","2,594.92",1
12/3/2010,"2,569.02","2,591.46",1
12/2/2010,"2,553.68","2,579.35",1
12/1/2010,"2,535.19","2,549.43",1
11/30/2010,"2,497.12","2,498.23",1
11/29/2010,"2,522.24","2,525.22",1
11/26/2010,"2,525.91","2,534.56",1
11/24/2010,"2,519.89","2,543.12",1
11/23/2010,"2,504.21","2,494.95",0
11/22/2010,"2,509.39","2,532.02",1
11/19/2010,"2,510.79","2,518.12",1
11/18/2010,"2,504.41","2,514.40",1
11/17/2010,"2,471.27","2,476.01",1
11/16/2010,"2,494.21","2,469.84",0
11/15/2010,"2,529.02","2,513.82",0
11/12/2010,"2,540.47","2,518.21",0
11/11/2010,"2,534.24","2,555.52",1
11/10/2010,"2,564.31","2,578.78",1
11/9/2010,"2,587.08","2,562.98",0
11/8/2010,"2,570.86","2,580.05",1
11/5/2010,"2,577.63","2,578.98",1
11/4/2010,"2,569.27","2,577.34",1
11/3/2010,"2,532.83","2,540.27",1
11/2/2010,"2,525.94","2,533.52",1
11/1/2010,"2,520.45","2,504.84",0
10/29/2010,"2,505.99","2,507.41",1
10/28/2010,"2,516.16","2,507.37",0
